# Complete USDA Foundation Foods Nutrient Analysis
# Generated from scanning the entire dataset
# Total unique nutrients found: 227
# Total foods analyzed: 65

## All Nutrients (sorted by frequency)
Format: Nutrient Name | Frequency | Example Foods
================================================================================

Water | 332 foods | Hummus, commercial | Tomatoes, grape, raw | Beans, snap, green, canned, regular pack, drained solids
Protein | 329 foods | Hummus, commercial | Tomatoes, grape, raw | Beans, snap, green, canned, regular pack, drained solids
Iron, Fe | 328 foods | Hummus, commercial | Tomatoes, grape, raw | Beans, snap, green, canned, regular pack, drained solids
Magnesium, Mg | 328 foods | Hummus, commercial | Tomatoes, grape, raw | Beans, snap, green, canned, regular pack, drained solids
Phosphorus, P | 328 foods | Hummus, commercial | Tomatoes, grape, raw | Beans, snap, green, canned, regular pack, drained solids
Copper, Cu | 328 foods | Hummus, commercial | Tomatoes, grape, raw | Beans, snap, green, canned, regular pack, drained solids
Manganese, Mn | 328 foods | Hummus, commercial | Tomatoes, grape, raw | Beans, snap, green, canned, regular pack, drained solids
Calcium, Ca | 328 foods | Hummus, commercial | Tomatoes, grape, raw | Beans, snap, green, canned, regular pack, drained solids
Potassium, K | 328 foods | Hummus, commercial | Tomatoes, grape, raw | Beans, snap, green, canned, regular pack, drained solids
Zinc, Zn | 328 foods | Hummus, commercial | Tomatoes, grape, raw | Beans, snap, green, canned, regular pack, drained solids
Total lipid (fat) | 318 foods | Hummus, commercial | Tomatoes, grape, raw | Beans, snap, green, canned, regular pack, drained solids
Ash | 313 foods | Hummus, commercial | Tomatoes, grape, raw | Beans, snap, green, canned, regular pack, drained solids
Sodium, Na | 310 foods | Hummus, commercial | Tomatoes, grape, raw | Beans, snap, green, canned, regular pack, drained solids
Nitrogen | 303 foods | Hummus, commercial | Tomatoes, grape, raw | Beans, snap, green, canned, regular pack, drained solids
Carbohydrate, by difference | 299 foods | Hummus, commercial | Tomatoes, grape, raw | Beans, snap, green, canned, regular pack, drained solids
Energy (Atwater General Factors) | 202 foods | Apples, red delicious, with skin, raw | Apples, fuji, with skin, raw | Apples, gala, with skin, raw
Energy (Atwater Specific Factors) | 199 foods | Apples, red delicious, with skin, raw | Apples, fuji, with skin, raw | Apples, gala, with skin, raw
Energy | 194 foods | Hummus, commercial | Hummus, commercial | Tomatoes, grape, raw
Vitamin B-6 | 192 foods | Hummus, commercial | Tomatoes, grape, raw | Frankfurter, beef, unheated
Niacin | 176 foods | Hummus, commercial | Tomatoes, grape, raw | Frankfurter, beef, unheated
Thiamin | 170 foods | Hummus, commercial | Tomatoes, grape, raw | Frankfurter, beef, unheated
Fiber, total dietary | 166 foods | Hummus, commercial | Tomatoes, grape, raw | Nuts, almonds, dry roasted, with salt added
Selenium, Se | 141 foods | Hummus, commercial | Nuts, almonds, dry roasted, with salt added | Onion rings, breaded, par fried, frozen, prepared, heated in oven
Riboflavin | 133 foods | Hummus, commercial | Tomatoes, grape, raw | Frankfurter, beef, unheated
Fructose | 129 foods | Hummus, commercial | Beans, snap, green, canned, regular pack, drained solids | Frankfurter, beef, unheated
Lactose | 129 foods | Hummus, commercial | Beans, snap, green, canned, regular pack, drained solids | Frankfurter, beef, unheated
Sucrose | 129 foods | Hummus, commercial | Beans, snap, green, canned, regular pack, drained solids | Frankfurter, beef, unheated
Glucose | 129 foods | Hummus, commercial | Beans, snap, green, canned, regular pack, drained solids | Frankfurter, beef, unheated
Maltose | 129 foods | Hummus, commercial | Beans, snap, green, canned, regular pack, drained solids | Frankfurter, beef, unheated
Sugars, Total | 126 foods | Hummus, commercial | Beans, snap, green, canned, regular pack, drained solids | Frankfurter, beef, unheated
Folate, total | 112 foods | Hummus, commercial | Tomatoes, grape, raw | Frankfurter, beef, unheated
Fatty acids, total saturated | 107 foods | Hummus, commercial | Frankfurter, beef, unheated | Nuts, almonds, dry roasted, with salt added
Fatty acids, total monounsaturated | 107 foods | Hummus, commercial | Frankfurter, beef, unheated | Nuts, almonds, dry roasted, with salt added
Biotin | 100 foods | Eggs, Grade A, Large, egg yolk | Butter, stick, salted | Onions, red, raw
Vitamin C, total ascorbic acid | 99 foods | Hummus, commercial | Tomatoes, grape, raw | Nuts, almonds, dry roasted, with salt added
Fatty acids, total polyunsaturated | 92 foods | Hummus, commercial | Frankfurter, beef, unheated | Nuts, almonds, dry roasted, with salt added
Starch | 91 foods | Hummus, commercial | Onion rings, breaded, par fried, frozen, prepared, heated in oven | Peaches, yellow, raw
SFA 16:0 | 89 foods | Hummus, commercial | Frankfurter, beef, unheated | Nuts, almonds, dry roasted, with salt added
SFA 18:0 | 89 foods | Hummus, commercial | Frankfurter, beef, unheated | Nuts, almonds, dry roasted, with salt added
Cholesterol | 88 foods | Egg, whole, raw, frozen, pasteurized | Egg, white, raw, frozen, pasteurized | Egg, white, dried
SFA 14:0 | 85 foods | Hummus, commercial | Frankfurter, beef, unheated | Nuts, almonds, dry roasted, with salt added
SFA 12:0 | 80 foods | Hummus, commercial | Frankfurter, beef, unheated | Nuts, almonds, dry roasted, with salt added
PUFA 18:2 n-6 c,c | 80 foods | Hummus, commercial | Frankfurter, beef, unheated | Nuts, almonds, dry roasted, with salt added
Galactose | 80 foods | Hummus, commercial | Beans, snap, green, canned, regular pack, drained solids | Frankfurter, beef, unheated
MUFA 18:1 c | 78 foods | Hummus, commercial | Frankfurter, beef, unheated | Nuts, almonds, dry roasted, with salt added
Vitamin K (phylloquinone) | 75 foods | Hummus, commercial | Tomatoes, grape, raw | Nuts, almonds, dry roasted, with salt added
